level,number,name,abbr,parent
3,219,Deep purple,dp.P,23
3,220,Very deep purple,v.dp.P,23
3,221,Very light purple,v.l.P,23
3,222,Light purple,l.P,23
3,223,Moderate purple,m.P,23
3,224,Dark purple,d.P,23
3,225,Very dark purple,v.d.P,23
3,226,Very pale purple,v.p.P,23
3,227,Pale purple,p.P,23
3,228,Grayish purple,gy.P,23
3,229,Dark grayish purple,d.gy.P,23
3,230,Blackish purple,bk.P,23
3,231,Purplish white,pWh,23
3,232,Light purplish gray,l.pGy,23
3,233,Purplish gray,pGy,23
3,234,Dark purplish gray,d.pGy,23
3,235,Purplish black,pBk,23
2,24,Reddish purple,rP,10
3,236,Vivid reddish purple,viv.rP,24
3,237,Strong reddish purple,s.rP,24
3,238,Deep reddish purple,dp.rP,24
3,239,Very deep reddish purple,v.dp.rP,24
3,240,Light reddish purple,l.rP,24
3,241,Moderate reddish purple,m.rP,24
3,242,Dark reddish purple,d.rP,24
3,243,Very dark reddish purple,v.d.rP,24
3,244,Pale reddish purple,p.rP,24
3,245,Grayish reddish purple,gy.rP,24
1,11,White,Wh,
2,27,White,Wh,11
3,263,White,Wh,27
1,12,Gray,Gy,
2,28,Gray,Gy,12
3,264,Light gray,l.Gy,28
3,265,Medium gray,m.Gy,28
3,266,Dark gray,d.Gy,28
1,13,Black,Bk,
2,29,Black,Bk,13
3,267,Black,Bk,29
